iter	MultiClass
0	1.058472917
1	1.029207598
2	1.00303805
3	0.9781106732
4	0.9582276577
5	0.9372843437
6	0.9228388423
7	0.9082110178
8	0.8947254058
9	0.8830231445
10	0.8711480725
11	0.8617822005
12	0.8538127438
13	0.8431781656
14	0.834456678
15	0.8262142093
16	0.8187120674
17	0.8115467272
18	0.8061080971
19	0.8009300348
20	0.7979231684
21	0.7935032608
22	0.789455028
23	0.7848289875
24	0.7801596008
25	0.7768607566
26	0.7731480068
27	0.7699500312
28	0.7665293304
29	0.7640369737
30	0.7615848012
31	0.7586898158
32	0.7557828222
33	0.7533885542
34	0.7508440125
35	0.7485632551
36	0.7466185258
37	0.7443531717
38	0.7427462585
39	0.7413775895
40	0.7398019388
41	0.7380844805
42	0.7366938717
43	0.735230227
44	0.7335572727
45	0.7317780628
46	0.7308229336
47	0.7293560022
48	0.7281466571
49	0.7264638139
50	0.7249049706
51	0.7237213653
52	0.72259953
53	0.7218067969
54	0.7208254016
55	0.7197624749
56	0.7186689268
57	0.7173867027
58	0.7165659677
59	0.7157271813
60	0.7148233246
61	0.7139003198
62	0.7129103588
63	0.7120013699
64	0.7109739219
65	0.7102266492
66	0.709508992
67	0.708865401
68	0.7082650308
69	0.7073476573
70	0.7067965008
71	0.7057161852
72	0.7052308244
73	0.7046011864
74	0.703782129
75	0.7033099
76	0.7027518114
77	0.7023548586
78	0.7015521845
79	0.7007101306
80	0.7001607109
81	0.6995943585
82	0.698533925
83	0.6981686961
84	0.6976670609
85	0.6972577475
86	0.6964678066
87	0.6957723221
88	0.6956097478
89	0.6951869563
90	0.69481333
91	0.6940776612
92	0.6932936209
93	0.6930739461
94	0.6925501385
95	0.6921049015
96	0.6915931926
97	0.6913005574
98	0.6909907012
99	0.6907984423
100	0.6903316902
101	0.689971418
102	0.6892259431
103	0.6884520497
104	0.6877378733
105	0.6874403055
106	0.6873159802
107	0.6865535462
108	0.6863328046
109	0.6861523598
110	0.6855463251
111	0.6847912438
112	0.6843949581
113	0.684043737
114	0.6835784112
115	0.6831758294
116	0.682707453
117	0.6823329042
118	0.6820104086
119	0.6816957958
120	0.6812652529
121	0.6806478068
122	0.6802902058
123	0.6797658047
124	0.6790883479
125	0.6788221321
126	0.6786092522
127	0.6781085209
128	0.6777674973
129	0.6775232439
130	0.6771152011
131	0.6766061676
132	0.6761633067
133	0.6759933384
134	0.6756026505
135	0.6750997364
136	0.6747984244
137	0.6745530429
138	0.6741883159
139	0.6738002691
140	0.6736984202
141	0.6733697598
142	0.6731992205
143	0.6726471382
144	0.6722034504
145	0.6719049448
146	0.6717451811
147	0.6715308248
148	0.6713307472
149	0.671170612
150	0.670914772
151	0.6706610639
152	0.6704257564
153	0.67022419
154	0.6700140951
155	0.6697285159
156	0.6695407941
157	0.6691779876
158	0.6690015862
159	0.6684548618
160	0.6682855387
161	0.6678946441
162	0.6674736924
163	0.6672670505
164	0.6670382658
165	0.6667318928
166	0.6662157975
167	0.6659658007
168	0.6657955915
169	0.6655740011
170	0.6654502902
171	0.6650256107
172	0.6648894423
173	0.6647821729
174	0.6645099296
175	0.6639723202
176	0.6637739649
177	0.6633353022
178	0.6632056059
179	0.6630091176
180	0.6629099607
181	0.662750879
182	0.6625906973
183	0.66247945
184	0.6623041857
185	0.6621895161
186	0.6619880377
187	0.6618139045
188	0.6614647634
189	0.6613208444
190	0.6610867525
191	0.6609145479
192	0.6607482329
193	0.6605396604
194	0.6603657734
195	0.6602866215
196	0.6600150775
197	0.6598221926
198	0.6597460208
199	0.6595006177
