iter	Passed	Remaining
0	82	41005
1	165	41228
2	248	41196
3	333	41375
4	414	41077
5	496	40884
6	580	40918
7	666	41008
8	749	40862
9	836	40968
10	930	41369
11	1019	41464
12	1099	41195
13	1181	40999
14	1266	40958
15	1357	41077
16	1446	41103
17	1524	40821
18	1612	40817
19	1694	40672
20	1782	40665
21	1876	40767
22	1963	40724
23	2049	40645
24	2120	40286
25	2187	39882
26	2279	39934
27	2374	40031
28	2465	40050
29	2561	40125
30	2650	40102
31	2742	40106
32	2821	39927
33	2907	39853
34	2994	39779
35	3076	39648
36	3162	39569
37	3238	39378
38	3325	39303
39	3401	39113
40	3481	38971
41	3566	38896
42	3656	38862
43	3732	38679
44	3812	38543
45	3897	38461
46	3985	38412
47	4075	38378
48	4171	38397
49	4258	38330
50	4333	38151
51	4403	37936
52	4485	37827
53	4574	37778
54	4723	38218
55	4807	38120
56	4889	38000
57	4976	37926
58	5059	37819
59	5132	37640
60	5223	37590
61	5296	37416
62	5386	37364
63	5476	37307
64	5575	37316
65	5674	37313
66	5756	37200
67	5850	37169
68	5929	37039
69	6015	36952
70	6101	36869
71	6184	36766
72	6272	36688
73	6354	36581
74	6445	36523
75	6541	36494
76	6623	36386
77	6706	36283
78	6793	36205
79	6884	36142
80	6968	36045
81	7070	36043
82	7158	35966
83	7251	35910
84	7335	35814
85	7411	35679
86	7487	35545
87	7568	35433
88	7652	35339
89	7734	35232
90	7827	35178
91	7911	35087
92	7993	34980
93	8120	35074
94	8223	35056
95	8308	34966
96	8405	34923
97	8495	34850
98	8578	34747
99	8663	34653
100	8748	34560
101	8841	34497
102	8940	34459
103	9042	34429
104	9132	34355
105	9221	34276
106	9304	34173
107	9393	34093
108	9475	33988
109	9562	33902
110	9653	33830
111	9739	33739
112	9827	33655
113	9912	33562
114	10000	33479
115	10078	33364
116	10154	33239
117	10240	33151
118	10330	33075
119	10425	33012
120	10507	32911
121	10587	32803
122	10674	32718
123	10754	32610
124	10832	32496
125	10909	32381
126	10990	32278
127	11081	32206
128	11190	32182
